Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Ronald Acuna Jr. ,585,129,38,101,53,0.314,0.397,184,34,2,80,107,0.576,0.973,6966 d,ATL 
Aaron Judge ,521,105,45,111,7,0.275,0.391,143,23,0,99,170,0.581,0.972,4955 d,NYY 
Shohei Ohtani ,527,102,39,106,20,0.278,0.377,146,28,5,84,151,0.57,0.947,7354 d,LAD 
Fernando Tatis Jr. ,583,104,35,97,29,0.274,0.345,160,33,2,63,146,0.519,0.864,6853 d,SD 
Julio Rodriguez ,603,101,32,94,33,0.28,0.336,169,33,3,51,157,0.503,0.839,43685 ,SEA 
Bobby Witt Jr. ,608,99,29,90,42,0.278,0.324,169,33,7,41,121,0.497,0.821,6810 d,KC 
Kyle Tucker ,572,97,31,105,25,0.282,0.362,162,34,4,71,96,0.52,0.881,6006 d,HOU 
Mookie Betts ,575,114,33,97,14,0.283,0.373,163,37,2,82,107,0.527,0.9,4921 d,LAD 
Juan Soto ,530,109,37,102,11,0.279,0.422,148,27,2,131,112,0.543,0.965,6906 d,NYY 
Freddie Freeman ,588,108,26,96,14,0.305,0.383,179,41,2,75,110,0.514,0.897,3365 d,LAD 
Yordan Alvarez ,507,98,38,109,1,0.298,0.39,151,31,2,77,117,0.592,0.982,6461 d,HOU 
Matt Olson ,567,102,41,114,1,0.266,0.365,151,29,1,88,148,0.537,0.901,5718 d,ATL 
Corbin Carroll ,572,102,23,81,43,0.276,0.347,158,30,9,62,134,0.48,0.828,23993 ,ARI 
Austin Riley ,595,99,37,106,2,0.279,0.342,166,32,2,57,159,0.525,0.867,6022 d,ATL 
Jose Ramirez ,580,93,27,95,25,0.279,0.357,162,37,4,70,77,0.501,0.858,5288 d,CLE 
Rafael Devers ,580,95,35,102,4,0.282,0.349,163,36,1,60,125,0.527,0.876,5175 d,BOS 
Vladimir Guerrero Jr. ,583,93,33,100,6,0.284,0.358,166,32,1,67,99,0.509,0.867,6050 d,TOR 
Trea Turner ,614,97,23,84,28,0.282,0.331,173,34,4,45,133,0.465,0.797,5828 d,PHI 
Bryce Harper ,529,95,29,92,13,0.284,0.387,150,34,2,89,135,0.52,0.907,4293 d,PHI 
Pete Alonso ,565,89,40,110,4,0.249,0.327,141,24,1,66,139,0.509,0.835,6960 d,NYM 
Ozzie Albies ,588,95,27,94,14,0.274,0.326,161,34,4,46,109,0.484,0.81,5980 d,ATL 
Luis Robert Jr. ,566,86,31,90,19,0.269,0.311,152,33,1,34,159,0.498,0.809,6935 d,CWS 
Corey Seager ,515,88,30,90,2,0.296,0.365,152,33,1,56,95,0.54,0.905,4805 d,TEX 
Michael Harris II ,562,87,22,81,24,0.286,0.327,161,35,3,35,121,0.476,0.803,43924 ,ATL 
Bo Bichette ,599,87,23,87,12,0.292,0.332,175,35,2,36,127,0.473,0.806,6808 d,TOR 
Marcus Semien ,610,100,27,85,15,0.264,0.331,161,34,3,61,111,0.463,0.795,4544 d,TEX 
Francisco Lindor ,581,92,27,89,21,0.254,0.325,147,28,2,62,127,0.448,0.773,4569 d,NYM 
Jose Altuve ,553,98,24,76,14,0.275,0.349,152,31,1,62,101,0.468,0.817,4334 d,HOU 
Manny Machado ,558,83,29,95,7,0.268,0.337,150,28,1,57,116,0.479,0.816,3778 d,SD 
Randy Arozarena ,559,89,24,81,26,0.26,0.337,145,29,3,65,156,0.448,0.785,6962 d,TB 
Mike Trout ,489,87,34,89,3,0.264,0.358,129,25,2,72,160,0.529,0.886,3785 d,LAA 
Kyle Schwarber ,548,98,41,98,4,0.222,0.343,122,21,1,101,194,0.488,0.831,5686 d,PHI 
Adolis Garcia ,575,88,32,96,14,0.243,0.304,139,28,2,50,182,0.467,0.77,6901 d,TEX 
Paul Goldschmidt ,570,90,26,87,8,0.268,0.356,153,30,1,78,150,0.46,0.817,4403 d,STL 
Gunnar Henderson ,551,92,26,83,12,0.261,0.338,144,29,6,64,155,0.477,0.815,23372 ,BAL 
Royce Lewis ,509,78,26,83,14,0.268,0.329,137,27,2,46,128,0.479,0.808,6967 d,MIN 
Bryan Reynolds ,571,86,24,83,9,0.269,0.34,154,30,4,61,138,0.462,0.801,6818 d,PIT 
Nolan Jones ,517,82,24,80,16,0.268,0.355,138,29,4,70,171,0.476,0.831,10128 ,COL 
Gleyber Torres ,560,83,24,80,13,0.27,0.338,151,27,1,58,109,0.453,0.791,5133 d,NYY 
Alex Bregman ,564,93,24,88,2,0.265,0.361,149,31,2,84,81,0.453,0.813,5973 d,HOU 
Cody Bellinger ,535,81,23,82,18,0.261,0.322,140,28,2,48,117,0.451,0.773,6045 d,CHC 
Christian Walker ,567,82,28,93,6,0.254,0.328,144,30,2,62,129,0.462,0.79,4905 d,ARI 
Teoscar Hernandez ,532,75,28,90,8,0.262,0.309,139,27,1,36,169,0.476,0.785,4846 d,LAD 
Ketel Marte ,564,88,21,80,7,0.274,0.348,155,34,5,64,108,0.465,0.813,5179 d,ARI 
Christian Yelich ,550,94,19,69,23,0.261,0.358,143,29,2,84,148,0.423,0.781,4596 d,MIL 
Nico Hoerner ,590,84,10,64,33,0.281,0.332,166,28,4,45,79,0.394,0.726,7934 d,CHC 
Jazz Chisholm Jr. ,504,77,25,75,29,0.246,0.307,124,21,4,44,158,0.452,0.759,8449 d,MIA 
Matt McLain ,528,83,23,77,19,0.257,0.331,136,30,4,58,164,0.459,0.789,7953 d,CIN 
Nolan Arenado ,571,75,26,93,4,0.262,0.319,150,31,2,48,95,0.459,0.779,4350 d,STL 
Elly De La Cruz ,507,78,21,70,35,0.247,0.309,125,25,6,45,177,0.442,0.75,44884 ,CIN 
Marcell Ozuna ,515,76,31,88,1,0.256,0.323,132,24,1,51,133,0.484,0.807,4726 d,ATL 
Xander Bogaerts ,569,82,18,74,12,0.278,0.345,158,32,1,58,114,0.433,0.777,4347 d,SD 
Josh Naylor ,513,67,22,85,8,0.281,0.336,144,32,0,43,82,0.473,0.809,6054 d,CLE 
CJ Abrams ,570,82,16,64,38,0.255,0.294,145,30,4,31,115,0.407,0.7,19879 ,WSH 
Nick Castellanos ,580,76,24,88,7,0.261,0.306,152,33,1,38,159,0.449,0.756,4631 d,PHI 
Andres Gimenez ,556,78,17,70,28,0.265,0.309,147,29,4,36,118,0.426,0.735,7049 d,CLE 
Dansby Swanson ,578,84,23,81,12,0.255,0.323,147,28,2,58,158,0.431,0.754,5965 d,CHC 
Anthony Santander ,563,79,29,89,3,0.25,0.311,141,31,1,50,136,0.463,0.774,4903 d,BAL 
Yandy Diaz ,526,84,18,71,2,0.292,0.378,154,30,1,73,89,0.455,0.833,6677 d,TB 
George Springer ,539,84,23,73,14,0.258,0.327,139,25,2,55,115,0.44,0.767,4614 d,TOR 
Oneil Cruz ,510,80,23,72,22,0.247,0.318,126,24,4,53,157,0.445,0.763,39199 ,PIT 
Spencer Torkelson ,564,82,30,86,3,0.243,0.322,137,30,1,66,152,0.459,0.782,43877 ,DET 
Seiya Suzuki ,509,76,22,75,9,0.27,0.349,138,28,3,62,131,0.467,0.816,6973 d,CHC 
Triston Casas ,507,79,27,82,1,0.258,0.36,131,26,2,81,141,0.477,0.837,6997 d,BOS 
Willy Adames ,555,79,27,86,7,0.243,0.321,135,30,1,64,162,0.448,0.768,5988 d,MIL 
Nathaniel Lowe ,566,79,21,79,3,0.271,0.351,153,29,2,70,146,0.439,0.79,7914 d,TEX 
