Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Edwin Diaz ,61.4,95,3,34,2.82,1.03,19,42,21,6,61,0,2,0,5996 d,NYM 
Michael King ,144.1,162,9,0,3.72,1.23,60,126,52,18,33,24,7,0,8489 d,SD 
Tanner Bibee ,162.8,160,10,0,3.93,1.23,71,149,50,22,29,28,9,0,45056 ,CLE 
Jose Berrios ,176.0,165,11,0,4.15,1.24,81,170,49,25,31,30,10,0,5722 d,TOR 
Yu Darvish ,156.6,156,10,0,4.13,1.20,72,143,44,23,27,26,9,0,3965 d,SD 
Eury Perez ,139.4,159,8,0,3.90,1.19,60,119,47,20,27,27,8,0,44610 ,MIA 
Bailey Ober ,151.8,148,9,0,4.08,1.18,69,143,35,24,28,28,8,0,44064 ,MIN 
Jhoan Duran ,64.8,86,4,30,2.84,1.12,20,50,23,5,64,0,3,0,8034 d,MIN 
Merrill Kelly ,179.6,168,11,0,4.05,1.28,81,169,61,23,31,30,10,0,8374 d,ARI 
Devin Williams ,62.4,89,5,31,2.95,1.16,20,43,29,6,63,0,3,0,27766 ,MIL 
Hunter Brown ,152.6,163,11,0,3.95,1.28,67,139,57,18,31,27,8,0,44176 ,HOU 
Dylan Cease ,173.1,201,10,0,4.03,1.31,78,151,75,22,31,31,10,0,6848 d,CWS 
Emmanuel Clase ,66.9,67,4,34,3.03,1.11,23,58,16,5,67,0,3,0,27356 ,CLE 
Eduardo Rodriguez ,165.3,158,11,0,3.93,1.29,72,159,54,19,29,29,9,0,3963 d,ARI 
Justin Verlander ,148.7,134,10,0,4.01,1.21,66,138,42,21,25,25,7,0,3623 d,HOU 
Shota Imanaga ,143.3,143,9,0,3.94,1.22,63,135,40,21,26,26,7,2,6979 d,CHC 
Cole Ragans ,161.4,171,10,0,3.94,1.30,71,143,67,18,28,28,9,0,6834 d,KC 
Hunter Greene ,150.4,189,9,0,4.26,1.24,71,129,58,25,28,28,9,0,6871 d,CIN 
Josh Hader ,60.0,87,3,33,3.14,1.13,21,42,26,7,62,0,2,0,5047 d,HOU 
Nestor Cortes Jr. ,134.1,135,9,0,4.05,1.20,60,121,39,21,28,24,6,0,7375 d,NYY 
Pete Fairbanks ,56.7,79,4,29,2.99,1.11,19,41,22,5,59,0,2,0,19909 ,TB 
Andres Munoz ,59.8,82,4,27,3.00,1.12,20,44,23,5,60,0,3,0,24281 ,SEA 
Mitch Keller ,183.1,177,11,0,4.18,1.31,85,178,62,21,31,31,10,0,6477 d,PIT 
Raisel Iglesias ,63.0,75,4,31,3.37,1.12,24,55,16,8,63,0,3,0,5589 d,ATL 
Triston McKenzie ,144.2,144,8,0,4.10,1.21,66,128,47,22,25,25,9,0,39295 ,CLE 
Nathan Eovaldi ,156.0,143,10,0,4.12,1.26,71,151,45,22,27,27,8,2,4423 d,TEX 
Cristian Javier ,158.9,168,10,0,4.34,1.25,77,137,63,26,29,29,8,0,10002 ,HOU 
Kodai Senga ,122.8,143,8,0,3.73,1.27,51,101,54,14,20,21,6,1,6917 d,NYM 
Camilo Doval ,65.6,80,4,34,3.36,1.23,24,53,28,5,66,0,3,0,43997 ,SF 
Tanner Scott ,67.5,89,4,27,3.23,1.21,24,53,29,5,69,0,3,0,7328 d,MIA 
Bryce Miller ,144.3,131,9,0,4.18,1.21,67,138,37,21,27,27,8,0,45184 ,SEA 
Bryan Woo ,130.8,137,8,0,4.05,1.21,59,116,42,18,31,24,8,0,47011 ,SEA 
Walker Buehler ,126.4,118,9,0,3.98,1.21,56,118,35,17,22,22,6,1,7002 d,LAD 
Aaron Civale ,139.6,130,8,0,4.08,1.21,63,132,38,19,26,26,8,0,21649 ,TB 
Ryan Helsley ,61.3,80,4,27,3.22,1.16,22,45,26,7,61,0,3,0,7481 d,STL 
Evan Phillips ,63.9,72,4,29,3.43,1.14,24,53,20,8,62,0,3,0,7989 d,LAD 
Nick Pivetta ,162.9,181,10,0,4.38,1.28,79,147,61,25,31,27,10,0,6590 d,BOS 
David Bednar ,64.3,76,3,31,3.37,1.16,24,54,21,7,63,0,3,0,8451 d,PIT 
Charlie Morton ,152.2,166,11,0,4.16,1.33,70,138,65,19,27,27,7,0,3181 d,ATL 
Braxton Garrett ,143.4,136,8,0,3.99,1.26,63,142,39,18,27,27,8,0,6815 d,MIA 
Marcus Stroman ,155.1,130,10,0,4.00,1.30,69,151,50,18,28,28,8,1,4796 d,NYY 
Jordan Romano ,62.1,74,4,32,3.53,1.19,24,51,23,8,62,0,3,0,7647 d,TOR 
Reid Detmers ,160.3,171,9,0,4.28,1.29,76,147,61,23,29,29,9,0,43840 ,LAA 
Griffin Canning ,143.4,150,9,0,4.24,1.27,68,135,47,23,26,26,8,0,7166 d,LAA 
Clay Holmes ,64.9,69,4,31,3.43,1.24,25,56,25,5,64,0,3,0,6584 d,NYY 
Kenta Maeda ,136.3,139,8,0,4.23,1.23,64,127,40,20,32,25,9,0,5939 d,DET 
Yusei Kikuchi ,149.1,158,9,0,4.22,1.30,70,139,55,23,29,29,8,0,7015 d,TOR 
Gavin Williams ,139.8,141,8,0,4.08,1.28,63,123,55,19,26,26,8,0,44694 ,CLE 
Lance Lynn ,170.7,160,10,0,4.42,1.29,84,167,53,27,30,29,10,0,3661 d,STL 
Sean Manaea ,141.4,147,8,0,4.25,1.26,67,133,46,21,27,23,9,0,4944 d,NYM 
Ryan Pepiot ,134.4,136,8,0,4.16,1.26,62,118,50,20,29,24,7,0,38313 ,TB 
Taj Bradley ,125.9,131,8,0,4.15,1.25,58,115,43,19,38,21,7,0,44442 ,TB 
Jose Alvarado ,65.3,88,3,21,3.19,1.24,23,50,31,6,66,0,3,0,6550 d,PHI 
Jon Gray ,155.6,150,9,0,4.29,1.29,74,147,53,22,28,28,9,1,4933 d,TEX 
Adbert Alzolay ,63.8,69,3,28,3.68,1.16,26,56,18,8,57,0,3,0,7380 d,CHC 
Brandon Pfaadt ,144.0,136,8,0,4.33,1.24,69,142,37,23,27,27,9,0,44436 ,ARI 
Paul Sewald ,63.1,76,3,29,3.74,1.19,26,52,23,9,63,0,3,0,6147 d,ARI 
Kyle Bradish ,104.4,103,7,0,3.78,1.23,44,95,34,12,17,19,5,0,39964 ,BAL 
JP Sears ,162.8,149,8,0,4.37,1.27,79,155,51,26,29,29,11,0,7334 d,OAK 
Alexis Diaz ,66.9,82,4,31,3.93,1.27,29,52,33,8,67,0,4,0,45001 ,CIN 
Dean Kremer ,163.3,141,10,0,4.30,1.31,78,162,52,23,30,29,9,0,7918 d,BAL 
Craig Kimbrel ,65.4,81,4,25,3.82,1.22,28,52,28,8,66,0,4,0,3238 d,BAL 
Mason Miller ,62.0,80,3,15,3.35,1.14,23,46,25,7,59,1,3,0,45221 ,OAK 
Max Scherzer ,88.5,98,6,0,3.94,1.15,39,78,24,15,16,15,5,0,3744 d,TEX 
Shane Baz ,94.3,102,6,0,3.84,1.20,40,83,30,12,23,18,5,0,7158 d,TB 
Kyle Harrison ,135.0,151,7,0,4.15,1.31,62,117,60,18,27,27,7,0,43921 ,SF 
Ranger Suarez ,149.6,131,9,0,4.04,1.35,67,147,55,17,27,27,8,0,7247 d,PHI 
Nick Lodolo ,115.1,136,6,0,4.11,1.26,53,105,39,17,28,21,6,0,6953 d,CIN 
Logan Allen ,138.0,131,8,0,4.16,1.31,64,132,50,19,26,26,8,0,43900 ,CLE 
Garrett Whitlock ,102.5,101,6,1,3.97,1.22,45,101,24,13,43,12,5,0,7916 d,BOS 
Cristopher Sanchez ,133.9,118,8,0,4.16,1.29,62,130,43,17,31,23,7,0,39312 ,PHI 
Louie Varland ,122.9,119,7,0,4.17,1.26,57,119,36,17,34,19,7,0,44936 ,MIN 
DL Hall ,102.6,126,6,0,3.82,1.30,44,86,47,12,38,16,5,0,6845 d,MIL 
Brayan Bello ,165.6,144,11,0,4.27,1.37,79,171,56,20,30,29,10,0,44932 ,BOS 
Kenley Jansen ,60.2,71,3,31,4.05,1.24,27,51,24,8,62,0,3,0,3630 d,BOS 
Steven Matz ,118.8,112,7,0,4.03,1.28,53,116,36,15,30,21,7,0,5344 d,STL 
Miles Mikolas ,179.8,125,10,0,4.49,1.29,90,192,40,27,31,30,10,0,5408 d,STL 
A.J. Puk ,84.9,100,5,4,3.85,1.22,36,76,28,11,51,7,6,0,5007 d,MIA 
Andrew Abbott ,132.5,145,8,0,4.33,1.31,64,122,51,21,25,25,8,0,44726 ,CIN 
MacKenzie Gore ,141.6,151,8,0,4.28,1.34,67,130,60,21,27,27,9,0,7146 d,WSH 
Jordan Hicks ,109.2,121,7,0,3.83,1.35,46,94,54,10,34,19,7,0,6897 d,SF 
Edward Cabrera ,130.1,140,8,0,4.16,1.35,60,112,65,16,25,25,8,0,39222 ,MIA 
Ryan Pressly ,64.2,72,4,4,3.43,1.14,24,55,18,7,64,0,3,0,5361 d,HOU 
Kutter Crawford ,137.6,134,8,0,4.50,1.28,69,133,43,21,31,26,8,1,9957 d,BOS 
Matt Strahm ,69.0,80,4,2,3.65,1.13,28,58,20,9,66,0,4,0,5901 d,PHI 
John Means ,118.5,92,7,0,4.31,1.22,57,116,28,20,26,22,7,0,8079 d,BAL 
Robert Stephenson ,59.1,77,3,11,3.72,1.13,24,48,19,9,61,0,3,0,4734 d,LAA 
Jameson Taillon ,150.5,130,8,0,4.52,1.28,76,152,40,24,28,28,9,0,4657 d,CHC 
Patrick Sandoval ,154.0,145,9,0,4.14,1.40,71,149,67,18,28,28,9,0,8031 d,LAA 
Bryan Abreu ,65.4,89,3,2,3.24,1.20,24,48,30,6,64,0,2,0,8384 d,HOU 
A.J. Minter ,62.2,77,4,4,3.49,1.16,24,52,20,7,65,0,3,0,7030 d,ATL 
Andrew Heaney ,132.6,139,8,0,4.44,1.31,65,126,47,22,30,25,8,0,4678 d,TEX 
Clarke Schmidt ,139.9,128,8,0,4.37,1.31,68,138,46,20,27,27,8,0,7264 d,NYY 
Chris Paddack ,114.9,104,7,0,4.31,1.25,55,116,28,16,27,21,7,0,6426 d,MIN 
Jason Adam ,58.4,71,3,7,3.48,1.12,23,45,21,7,59,0,3,0,7309 d,TB 
Zack Littell ,137.2,112,8,0,4.41,1.28,67,139,36,22,34,23,7,0,6563 d,TB 
Brady Singer ,161.7,138,9,0,4.43,1.34,80,168,49,20,28,28,10,1,6811 d,KC 
Emmet Sheehan ,104.7,117,7,0,4.31,1.28,50,89,45,16,34,17,5,0,45411 ,LAD 
Hunter Harvey ,60.3,67,3,13,3.73,1.17,25,53,18,8,60,0,3,0,4953 d,WSH 
Reynaldo Lopez ,81.3,91,5,1,3.86,1.24,35,71,30,10,53,6,4,0,6012 d,ATL 
Seth Lugo ,148.6,128,8,0,4.36,1.33,72,153,45,20,27,27,9,0,5890 d,KC 
Frankie Montas ,133.8,132,8,0,4.44,1.32,66,132,44,21,24,24,8,0,5619 d,CIN 
Dane Dunning ,157.2,134,10,0,4.39,1.37,77,160,55,21,30,27,9,0,6619 d,TEX 
Brusdar Graterol ,63.3,52,4,7,3.41,1.19,24,59,16,5,63,0,3,0,31521 ,LAD 
Alex Cobb ,102.3,91,6,0,3.85,1.31,44,104,30,10,19,19,5,1,3034 d,SF 
Tanner Houck ,134.0,127,8,0,4.30,1.35,64,131,49,16,33,24,8,1,6987 d,BOS 
Trevor Rogers ,110.7,111,6,0,4.16,1.30,51,105,39,13,26,21,7,0,6995 d,MIA 
Robert Suarez ,62.6,65,3,19,3.97,1.24,28,53,24,8,62,0,4,0,45030 ,SD 
Aroldis Chapman ,59.6,90,3,4,3.28,1.27,22,41,34,6,61,0,3,0,3068 d,PIT 
Kyle Gibson ,174.4,138,10,0,4.45,1.37,86,181,58,22,31,30,10,0,3655 d,STL 
Ross Stripling ,129.9,105,6,0,4.36,1.27,63,134,32,20,33,22,8,0,4931 d,OAK 
Keaton Winn ,117.2,101,6,0,4.16,1.30,54,116,36,13,28,20,7,0,46495 ,SF 
Jose Quintana ,152.9,128,9,0,4.31,1.38,73,157,54,18,28,27,8,0,4113 d,NYM 
Kevin Ginkel ,64.0,70,4,6,3.62,1.24,26,54,25,6,65,0,3,0,8447 d,ARI 
James Paxton ,101.5,107,7,0,4.31,1.30,49,96,36,17,25,18,6,0,4559 d,LAD 
Matt Brash ,52.9,72,3,5,3.27,1.22,19,41,24,5,52,0,3,0,44295 ,SEA 
Tyler Wells ,96.2,89,5,0,4.31,1.21,46,87,29,17,42,12,5,0,44081 ,BAL 
Jhony Brito ,105.6,84,7,0,4.20,1.29,49,104,32,14,41,15,7,0,45324 ,SD 
Reese Olson ,131.8,125,7,0,4.35,1.34,64,125,52,17,25,25,9,0,44805 ,DET 
Hector Neris ,67.1,75,4,6,3.91,1.24,29,57,27,9,67,0,4,0,5544 d,CHC 
Alex Lange ,64.4,77,3,21,3.98,1.37,28,53,35,6,64,0,4,0,26951 ,DET 
Erik Swanson ,63.1,71,3,3,3.73,1.17,26,54,20,9,63,0,3,0,6455 d,TOR 
Giovanny Gallegos ,62.6,68,3,5,3.85,1.16,27,55,18,9,62,0,3,0,6571 d,STL 
Jakob Junis ,111.8,109,6,0,4.41,1.29,55,113,31,18,30,17,6,0,6585 d,MIL 
Jose Leclerc ,62.8,72,2,19,4.03,1.29,28,51,30,8,63,0,3,0,5914 d,TEX 
Taylor Rogers ,59.6,72,4,3,3.71,1.23,25,52,22,7,61,0,4,0,5909 d,SF 
Carlos Estevez ,64.5,71,3,21,4.23,1.32,30,58,27,9,65,0,4,0,5929 d,LAA 
Clayton Kershaw ,59.9,60,5,0,3.74,1.19,25,55,16,9,11,11,3,0,3215 d,LAD 
Chase Silseth ,117.1,115,7,0,4.33,1.35,56,109,49,17,28,21,7,0,45213 ,LAA 
Kyle Finnegan ,66.5,65,3,20,4.11,1.32,30,62,25,9,66,0,4,0,7565 d,WSH 
Yuki Matsui ,61.3,74,2,8,3.65,1.24,25,51,26,7,61,0,2,0,7013 d,SD 
Michael Wacha ,140.2,116,8,0,4.53,1.33,71,143,43,21,26,26,9,0,4584 d,KC 
Scott Barlow ,66.9,76,3,3,3.72,1.24,28,58,26,8,65,0,4,0,7351 d,CLE 
Joe Jimenez ,63.4,79,3,1,3.87,1.18,27,54,21,9,65,0,2,0,6164 d,ATL 
Luis Severino ,128.1,121,7,0,4.55,1.32,65,126,43,20,25,24,8,0,5244 d,NYM 
Caleb Ferguson ,59.7,68,4,2,3.59,1.25,24,51,24,6,63,0,3,0,7912 d,NYY 
JoJo Romero ,57.4,64,4,3,3.55,1.25,23,50,21,6,58,0,3,0,8369 d,STL 
Garrett Crochet ,82.5,92,5,2,3.93,1.35,36,70,41,10,55,7,5,0,43886 ,CWS 
Jack Flaherty ,144.0,141,8,0,4.46,1.39,71,139,61,19,27,27,9,0,6021 d,DET 
Yennier Cano ,65.6,62,3,7,3.66,1.27,27,61,22,6,65,0,3,0,45875 ,BAL 
Chris Martin ,59.9,58,3,3,3.62,1.20,24,60,12,7,62,0,3,0,5477 d,BOS 
Jose Urquidy ,119.0,97,7,0,4.62,1.28,61,119,33,20,36,17,6,0,22917 ,HOU 
Aaron Ashby ,85.4,94,5,0,3.85,1.37,37,76,40,9,40,12,5,0,43700 ,MIL 
Taijuan Walker ,164.1,127,10,0,4.64,1.37,85,166,59,23,30,29,10,0,4571 d,PHI 
Alex Vesia ,57.3,73,3,1,3.73,1.21,24,46,23,8,59,0,3,0,43639 ,LAD 
Chad Green ,52.9,59,4,1,3.81,1.17,22,46,15,8,52,0,3,0,6177 d,TOR 
Domingo German ,83.7,81,5,0,4.35,1.24,40,78,25,14,17,14,5,1,5634 d,SP) FA 
Yimi Garcia ,60.9,65,3,2,3.84,1.19,26,55,18,8,63,0,3,0,5193 d,TOR 
Shawn Armstrong ,61.6,64,3,1,3.73,1.20,26,56,18,7,58,0,2,0,5597 d,TB 
Gregory Santos ,60.3,62,3,4,3.63,1.25,24,56,20,5,61,0,2,0,7285 d,SEA 
Griffin Jax ,63.0,65,4,2,3.96,1.22,28,57,20,7,55,0,4,0,43669 ,MIN 
Aaron Bummer ,60.9,73,4,1,3.57,1.31,24,52,28,5,62,0,3,0,7028 d,ATL 
Joe Kelly ,56.6,73,3,2,3.58,1.26,23,46,25,5,58,0,3,0,4652 d,LAD 
Colin Poche ,60.1,65,4,2,3.88,1.23,26,51,24,8,62,0,3,0,8278 d,TB 
Orion Kerkering ,57.8,65,3,3,3.75,1.22,24,51,20,7,61,0,3,0,46918 ,PHI 
Andrew Nardi ,64.1,77,3,3,3.78,1.28,27,55,27,8,64,0,4,0,46456 ,MIA 
Anthony DeSclafani ,119.6,96,7,0,4.54,1.31,60,125,32,18,34,19,8,0,5487 d,MIN 
Kyle Hendricks ,145.4,104,8,0,4.59,1.33,74,157,36,22,27,26,9,0,5462 d,CHC 
Julian Merryweather ,64.2,80,3,2,3.85,1.27,27,55,27,8,62,0,3,0,7664 d,CHC 
David Robertson ,61.0,70,3,10,4.02,1.30,27,53,27,8,60,0,4,0,3283 d,TEX 
Trevor Megill ,57.4,75,3,1,3.73,1.25,24,50,22,7,56,0,2,0,10118 ,MIL 
Caleb Thielbar ,55.0,65,3,1,3.74,1.20,23,48,18,7,57,0,3,0,5363 d,MIN 
Jordan Wicks ,114.6,97,7,0,4.40,1.35,56,115,39,16,25,22,7,0,44679 ,CHC 
Alek Manoah ,113.4,103,7,0,4.52,1.34,57,106,46,16,23,20,7,0,19812 ,TOR 
Colin Rea ,127.3,109,7,0,4.65,1.32,66,128,40,21,30,22,8,0,5822 d,MIL 
Mike Clevinger ,108.5,93,7,0,4.59,1.31,55,107,35,17,22,20,8,1,5905 d,SP) FA 
Tyler Holton ,63.5,58,3,1,3.81,1.21,27,58,19,7,62,0,3,0,45538 ,DET 
James McArthur ,65.0,62,3,13,4.14,1.31,30,62,23,7,64,0,3,0,44384 ,KC 
Drew Rasmussen ,47.4,48,3,0,3.45,1.15,18,41,13,5,26,5,2,0,43665 ,TB 
Joel Payamps ,64.8,64,3,2,3.87,1.24,28,60,20,9,61,0,4,0,8174 d,MIL 
Tim Mayza ,57.1,55,3,0,3.45,1.24,22,53,18,6,62,0,3,0,6321 d,TOR 
Wade Miley ,132.4,93,8,0,4.36,1.38,64,136,46,18,25,25,8,0,4000 d,MIL 
Pierce Johnson ,58.9,78,3,1,3.79,1.28,25,51,25,8,62,0,3,0,4212 d,ATL 
Josh Sborz ,61.0,74,3,2,3.92,1.26,27,53,24,8,61,0,3,0,7103 d,TEX 
Ian Hamilton ,61.8,71,3,2,3.73,1.30,26,52,28,7,59,0,3,0,8066 d,NYY 
Jeffrey Springs ,45.6,51,3,0,3.57,1.15,18,39,13,6,16,7,2,0,8051 d,TB 
Bryce Elder ,122.8,96,8,0,4.44,1.38,61,125,45,15,28,20,6,0,44280 ,ATL 
Jeff Hoffman ,64.5,76,3,3,4.07,1.27,29,54,28,9,62,0,3,0,6014 d,PHI 
Alex Wood ,126.6,105,6,0,4.45,1.35,63,127,44,16,27,23,9,0,4574 d,OAK 
Ryan Walker ,59.4,68,3,0,3.73,1.27,25,53,22,7,58,1,3,0,45949 ,SF 
Gabe Speier ,57.5,61,2,1,3.75,1.20,24,52,17,7,62,0,3,0,31848 ,SEA 
Will Vest ,61.3,64,3,1,3.78,1.27,26,56,21,6,60,0,3,0,44080 ,DET 
Gregory Soto ,65.0,75,3,3,3.94,1.31,28,55,30,7,67,0,4,0,7427 d,PHI 
Brock Burke ,63.3,62,3,0,3.93,1.23,28,59,19,9,60,0,3,0,8166 d,TEX 
Jason Foley ,62.3,50,3,8,3.85,1.31,27,63,18,5,63,0,3,0,44012 ,DET 
Robert Gasser ,104.3,100,5,0,4.41,1.34,51,100,39,15,28,18,6,0,45374 ,MIL 
Will Smith ,61.0,60,3,13,4.35,1.31,29,57,23,8,63,0,4,0,4536 d,KC 
John Brebbia ,52.5,55,3,12,4.32,1.28,25,49,18,8,53,1,4,0,7187 d,CWS 
Jonathan Loaisiga ,53.7,45,3,3,3.81,1.23,23,51,15,6,52,0,3,0,7982 d,NYY 
Phil Maton ,62.6,69,3,1,4.03,1.27,28,56,24,8,63,0,3,0,7090 d,TB 
Andrew Kittredge ,54.2,44,4,2,3.94,1.24,24,54,13,7,55,0,3,0,6556 d,STL 
Michael Soroka ,108.4,92,6,0,4.57,1.33,55,108,36,17,27,19,7,0,6950 d,CWS 
Mark Leiter Jr. ,61.9,68,3,1,4.07,1.26,28,55,23,8,62,0,3,0,7140 d,CHC 
Seranthony Dominguez ,62.3,66,4,3,4.06,1.33,28,55,27,8,64,0,4,0,7177 d,PHI 
Randy Vasquez ,103.4,89,6,0,4.37,1.37,50,99,43,14,26,18,6,0,44895 ,SD 
Sam Hentges ,60.2,64,3,1,3.72,1.32,25,55,24,6,57,0,3,0,8159 d,CLE 
Cole Irvin ,87.9,66,5,0,4.42,1.28,43,93,20,13,42,10,5,0,7588 d,BAL 
Ryan Brasier ,59.7,59,3,1,4.08,1.23,27,55,18,8,60,0,2,0,5367 d,LAD 
David Peterson ,73.8,79,4,0,4.02,1.36,33,69,31,8,29,11,4,0,7275 d,NYM 
Brock Stewart ,56.1,70,2,1,3.81,1.27,24,48,24,7,56,0,2,0,6424 d,MIN 
Lance McCullers Jr. ,60.8,62,4,0,3.89,1.32,26,54,26,7,21,9,3,0,4831 d,HOU 
Enyel De Los Santos ,63.7,65,3,1,4.05,1.27,29,56,25,8,64,0,3,0,7504 d,SD 
Trevor Stephan ,57.9,63,3,2,3.98,1.28,26,52,22,7,53,0,3,0,8533 d,CLE 
Eli Morgan ,60.9,63,3,0,4.14,1.23,28,57,18,9,58,0,3,0,43930 ,CLE 
Jacob deGrom ,26.4,36,2,0,3.01,0.95,9,20,6,3,5,5,1,0,4850 d,TEX 
Danny Coulombe ,57.3,61,3,1,3.91,1.28,25,53,20,8,59,0,3,0,5586 d,BAL 
Hoby Milner ,60.3,57,2,0,3.83,1.23,26,58,16,8,63,0,2,0,6628 d,MIL 
Tyler Anderson ,155.4,126,8,0,4.76,1.37,82,159,54,25,28,28,9,0,5636 d,LAA 
Kevin Kelly ,51.0,45,3,1,3.81,1.22,22,48,15,5,50,0,2,0,45797 ,TB 
John Schreiber ,60.9,61,3,1,3.89,1.30,26,55,24,7,59,0,3,0,10132 ,KC 
Drew Thorpe ,53.1,50,4,0,3.97,1.26,23,49,18,7,11,10,3,0,47300 ,SD 
Fernando Cruz ,56.9,73,3,1,4.09,1.30,26,49,25,8,57,0,3,0,45440 ,CIN 
Nick Martinez ,111.5,106,5,1,4.42,1.39,55,112,43,16,48,14,6,0,4928 d,CIN 
Steven Okert ,53.6,65,3,0,4.10,1.25,24,45,22,8,54,0,3,0,5927 d,MIN 
Andrew Chafin ,56.4,61,3,2,3.92,1.31,25,50,24,6,60,0,3,0,4797 d,DET 
J.P. France ,112.7,100,7,0,4.53,1.40,57,111,46,17,42,14,6,0,45204 ,HOU 
Adam Ottavino ,61.2,63,3,3,4.07,1.31,28,54,27,7,64,0,3,0,3022 d,NYM 
Michael Lorenzen ,115.0,91,7,0,4.64,1.36,59,115,41,17,23,20,7,1,4976 d,"RP,SP) FA "
Tyler Rogers ,68.0,51,3,2,3.99,1.29,30,69,19,7,66,0,4,0,30850 ,SF 
Garrett Cleavinger ,46.1,61,2,0,3.63,1.26,19,35,23,5,47,0,2,0,39173 ,TB 
Mason Black ,76.5,74,4,0,4.25,1.33,36,73,29,10,35,11,4,0,46147 ,SF 
Daniel Hudson ,40.7,49,3,1,3.89,1.21,18,35,14,6,42,0,2,0,3254 d,LAD 
Nick Sandlin ,59.8,64,3,0,4.04,1.29,27,50,27,8,60,0,4,0,43932 ,CLE 
Abner Uribe ,58.6,75,2,0,3.63,1.37,24,44,36,5,60,0,2,0,45146 ,MIL 
Joe Ross ,88.8,78,5,0,4.50,1.33,44,88,30,13,32,13,6,0,4710 d,MIL 
Wandy Peralta ,56.3,54,3,1,3.80,1.32,24,50,25,6,58,0,3,0,6501 d,SD 
Keynan Middleton ,53.3,58,3,0,3.96,1.28,23,47,22,7,55,0,2,0,5074 d,STL 
Graham Ashcraft ,149.9,119,8,0,4.68,1.40,78,158,52,20,27,27,9,0,44328 ,CIN 
